model_id,volume,surface_area,fill_fraction,slenderness_ratio,plane_face_ratio,cylindrical_face_ratio,bspline_face_ratio,compactness,area_volume_ratio,bbox_x,bbox_y,bbox_z,step_path,cluster,rank
90114_99894f36,319032.2888012031,75624.78486595381,0.2357654194958621,30285.34327443968,0.6363636363636364,0.1818181818181818,0.1818181818181818,0.0266151670318273,0.2370442977735005,135.317676446046,100.0000002,100.0000002,C:\Users\srfdyz\OneDrive - University of Missouri\Desktop\Agentic Design\Classification\AN_Design_Classification\data\reconstruction\90114_99894f36_0000.step,0,2
73388_10a40b49,1.391775762432253,19.30887791485544,0.4547499211474921,78.62232918431272,0.5,0.5,0.0,0.0304312506876232,13.873555235012454,4.123460364660382,0.1800001999999985,4.123460364660378,C:\Users\srfdyz\OneDrive - University of Missouri\Desktop\Agentic Design\Classification\AN_Design_Classification\data\reconstruction\73388_10a40b49_0000.step,9,2
24476_568e9ca0,132.05330515210065,280.39786315832623,0.3237904644808219,460.35417725946894,0.8823529411764706,0.1176470588235294,0.0,0.08945957398543,2.123368762602045,28.5001775168148,7.15496669683765,2.000000200000004,C:\Users\srfdyz\OneDrive - University of Missouri\Desktop\Agentic Design\Classification\AN_Design_Classification\data\reconstruction\24476_568e9ca0_0004.step,5,2
22276_69c5036b,17855.097456106647,5714.3893421169305,0.7529983555654635,3577.0879080013,0.8,0.2,0.0,0.1932267912959442,0.320042461608774,32.0000002,13.0000002,57.0000002,C:\Users\srfdyz\OneDrive - University of Missouri\Desktop\Agentic Design\Classification\AN_Design_Classification\data\reconstruction\22276_69c5036b_0001.step,14,2
23255_972fbfe6,54674.16813008448,16739.45995442352,0.6577982155976904,3915.085602343405,0.3333333333333333,0.6666666666666666,0.0,0.0720762881926517,0.3061676204125477,46.0000002,160.0000002,11.293061055392991,C:\Users\srfdyz\OneDrive - University of Missouri\Desktop\Agentic Design\Classification\AN_Design_Classification\data\reconstruction\23255_972fbfe6_0011.step,15,2
39793_5193d5ab,3936.736078125,2475.8015,0.8367346474444034,1144.7856445064913,1.0,0.0,0.0,0.1154988098077003,0.6288969976313937,22.225000200000004,4.762500200000001,44.450000200000005,C:\Users\srfdyz\OneDrive - University of Missouri\Desktop\Agentic Design\Classification\AN_Design_Classification\data\reconstruction\39793_5193d5ab_0002.step,7,2
91573_272066be,165000.0,20600.0,0.9999999875151456,10400.419184595648,1.0,0.0,0.0,0.352223720996113,0.1248484848484848,30.0000002,110.0000002,50.0000002,C:\Users\srfdyz\OneDrive - University of Missouri\Desktop\Agentic Design\Classification\AN_Design_Classification\data\reconstruction\91573_272066be_0000.step,13,2
140760_c36e4bec,97389.3722612836,15865.042900628456,0.3246312377328422,21839.51170576552,0.6,0.4,0.0,0.2686282940616383,0.1629032258064515,50.0000002,50.0000002,120.0000002,C:\Users\srfdyz\OneDrive - University of Missouri\Desktop\Agentic Design\Classification\AN_Design_Classification\data\reconstruction\140760_c36e4bec_0026.step,4,2
26245_4aac38e1,31554.156612655883,5541.769440932394,0.7853981496036978,17059.95756268648,0.6666666666666666,0.3333333333333333,0.0,0.6616375829798813,0.1756272401433691,36.0000002,36.0000002,31.000000199999995,C:\Users\srfdyz\OneDrive - University of Missouri\Desktop\Agentic Design\Classification\AN_Design_Classification\data\reconstruction\26245_4aac38e1_0000.step,11,2
27054_342fcf5c,313306.34298836446,34312.95542563558,0.6315068580451666,11905.507942674863,0.6,0.4,0.0,0.2747997732217505,0.1095188660987622,45.0000002,45.0000002,245.0000002,C:\Users\srfdyz\OneDrive - University of Missouri\Desktop\Agentic Design\Classification\AN_Design_Classification\data\reconstruction\27054_342fcf5c_0000.step,2,2
29737_245fd8bb,7986780.622369587,1102457.9755088687,0.1026277457711847,29845.19807804157,1.0,0.0,0.0,0.0053840582979546,0.1380353395986707,736.5999899003169,904.23998684856,116.8400002000001,C:\Users\srfdyz\OneDrive - University of Missouri\Desktop\Agentic Design\Classification\AN_Design_Classification\data\reconstruction\29737_245fd8bb_0000.step,8,2
