model_id,volume,surface_area,fill_fraction,slenderness_ratio,plane_face_ratio,cylindrical_face_ratio,bspline_face_ratio,compactness,area_volume_ratio,bbox_x,bbox_y,bbox_z
107743_e0c2c81f,2826833044203.3774,3553355473.176776,0.8315590739103106,512863.9472493894,1.0,0.0,0.0,0.0201435830928042,0.0012570093166496,53340.0000002,2133.6000002,29870.400000200003
41321_43c99300,2853.342488811493,4804.8678583514375,0.3874110397925604,3130.4882725662983,0.5,0.5,0.0,0.0083007213537411,1.6839436125148846,8.2042002,109.4232002,8.2042002
138219_cdff4f61,26733.41758014273,15147.704849981485,0.051163148228667056,11782.289428688597,0.975609756097561,0.024390243902439,0.0,0.0232552404695174,0.5666205902994245,70.0330087889911,80.00000019999999,93.261940781426
41982_f75ceb8f,72257.34952663079,12195.826092811512,0.7929475819218305,7800.314405780769,0.8333333333333334,0.1666666666666666,0.0,0.325523809377597,0.1687831919203829,90.00000019999999,22.5000002,45.0000002
27577_8520e14a,9979721.976,755159.7799999999,0.999999992433058,13208.53234571572,1.0,0.0,0.0,0.0261560828679763,0.0756694206327657,2946.4000002,88.9000002,38.1000002
41941_79d46bb4,1329.0755119689272,1267.0631174593584,0.8213557019047368,1109.4472775731458,0.75,0.0,0.25,0.0982102774396139,0.953341707110605,21.62025150458496,2.5400002,29.46618338171598
23881_bec7f38c,22704.290107493456,15758.228750406402,0.2399827688252557,15724.448452611428,0.5,0.5,0.0,0.0148986194316691,0.6940639269406387,36.0000002,36.0000002,73.00000019999999
90114_99894f36,319032.2888012031,75624.78486595381,0.2357654194958621,30285.34327443968,0.6363636363636364,0.1818181818181818,0.1818181818181818,0.0266151670318273,0.2370442977735005,135.317676446046,100.0000002,100.0000002
99094_559fbfc2,10344.314721506516,8790.570124221109,0.6322654331764987,545.5904504698714,1.0,0.0,0.0,0.0178157740404501,0.8497972423388214,155.03174325165497,3.5000002,30.15182380965236
22645_1ba0af00,1207168.5240152774,125778.97634595854,0.27108363185771095,29866.51406726665,0.8333333333333334,0.1666666666666666,0.0,0.0828254896093026,0.1041933862950577,205.0000002,144.816979971956,150.0000002
34526_3ea355a5,1054.055016946911,757.2069688158549,0.7853981069758109,2201.284942660659,0.6666666666666666,0.3333333333333333,0.0,0.2894243896246532,0.7183751859643134,4.0000002,18.317099655858858,18.317099655858858
23364_73dd9d4d,89989195.34055518,9197910.062522164,0.22962016249933423,58087.1744216172,0.912280701754386,0.0350877192982456,0.0175438596491228,0.0011769706534651,0.1022112713388933,715.0074365775941,1260.007436577594,435.0074365775942
41868_002280d0,154.67564547074522,385.9162662462318,0.585892505336494,721.1248332286898,0.7142857142857143,0.2857142857142857,0.0,0.0470778905119652,2.495003431676144,22.00000052782551,4.000000259604647,3.0000002
34678_f709cdcc,15.399425890723698,58.86354248944776,0.4462810450691604,614.2070870316194,0.8888888888888888,0.1111111111111111,0.0,0.131498938992892,3.8224504541371225,4.32000020000001,2.1350001999999995,3.741229944348806
61840_0735b513,241833.43033553375,41985.605502217535,0.30529905030855475,11776.166683130066,0.4193548387096774,0.5806451612903226,0.0,0.0893683590248328,0.1736137367111083,176.27222752025142,64.19614495361819,70.00000019999999
21732_adaf1650,11988.317566098647,4222.300526424681,0.785398135735575,6603.854607853496,0.6666666666666666,0.3333333333333333,0.0,0.2159341973396501,0.3522012578616352,12.0000002,12.0000002,106.0000002
73388_10a40b49,1.391775762432253,19.30887791485544,0.45474992114749213,78.62232918431272,0.5,0.5,0.0,0.0304312506876232,13.873555235012454,4.123460364660382,0.1800001999999985,4.123460364660378
45906_f3f016af,2706152.09263366,350837.3777145329,0.22190932822173373,36056.2393057602,0.7777777777777778,0.0,0.0,0.0191795850703436,0.129644367982693,150.0000002,400.0000002,203.24758384862864
23630_84ec484d,43568.82237088413,30421.46271593444,0.14179421907766282,4705.839245717687,0.1045454545454545,0.0363636363636363,0.8590909090909091,0.0076254195037425,0.6982392697458879,50.80002987683045,79.37502987683047,76.20253637026508
24476_568e9ca0,132.05330515210065,280.39786315832623,0.3237904644808219,460.35417725946894,0.8823529411764706,0.1176470588235294,0.0,0.08945957398543,2.123368762602045,28.5001775168148,7.15496669683765,2.000000200000004
35166_562b126c,339.1447444320606,565.5848524165872,0.35881210255039964,965.4894489715888,0.5,0.5,0.0,0.0719000591141568,1.6676798378926034,17.7500002,3.0000002,17.7500002
134926_635bdb3a,239090.03877082813,34658.96426930892,0.4012313533024971,13085.92740812868,1.0,0.0,0.0,0.1552846749598651,0.1449619751934965,80.00000020000003,98.66695270697538,75.4926927257901
128996_be3a6361,653.451271946677,678.5840131753953,0.7853980818359321,2201.284942660659,0.6666666666666666,0.3333333333333333,0.0,0.1545496113397348,1.0384615384615383,4.0000002,52.0000002,4.0000002
33529_756075a0,10050000.0,491868.3298050514,0.3722222214364198,51087.29554399082,1.0,0.0,0.0,0.0959926356260974,0.0489421223686618,300.00000020000004,450.0000002,200.00000019999996
23662_88a30d39,43535.35106324625,30482.810725223066,0.14163709768213859,5101.23933404085,0.3519553072625698,0.0502793296089385,0.5977653631284916,0.0075678313795017,0.7001852513130989,50.8075220835142,79.3825220835142,76.21002857694884
21822_7d3db422,350.4839304161113,954.6514676095984,0.4005530289991231,2183.951249198793,0.5,0.5,0.0,0.0159681300424555,2.723809523809524,5.000000200000002,35.0000002,5.0000002
22276_69c5036b,17855.097456106647,5714.3893421169305,0.7529983555654635,3577.0879080013,0.8,0.2,0.0,0.1932267912959442,0.320042461608774,32.0000002,13.0000002,57.0000002
23255_972fbfe6,54674.16813008448,16739.45995442352,0.6577982155976904,3915.085602343405,0.3333333333333333,0.6666666666666666,0.0,0.0720762881926517,0.3061676204125477,46.0000002,160.0000002,11.293061055392991
39793_5193d5ab,3936.736078125,2475.8015,0.8367346474444034,1144.7856445064913,1.0,0.0,0.0,0.1154988098077003,0.6288969976313937,22.225000200000004,4.762500200000001,44.450000200000005
